artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_recovery__gripper_reopen__020,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__021,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__022,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__023,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__024,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__025,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__026,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__027,canonicalized,actual_applied,16,16,15
transport_recovery__gripper_reopen__028,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__029,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__030,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__031,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__032,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__033,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__034,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__035,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__036,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__037,canonicalized,actual_applied,18,18,17
transport_recovery__gripper_reopen__038,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__039,canonicalized,actual_applied,18,18,17
transport_recovery__gripper_reopen__040,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__041,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__042,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__043,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__044,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__045,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__046,canonicalized,actual_applied,16,16,15
transport_recovery__gripper_reopen__047,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__048,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__049,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__050,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__051,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__052,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__053,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__054,canonicalized,actual_applied,15,15,14
transport_recovery__gripper_reopen__055,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__056,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__057,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__058,canonicalized,actual_applied,17,17,16
transport_recovery__gripper_reopen__059,canonicalized,actual_applied,15,15,14
transport_recovery__natural__000,canonicalized,actual_applied,13,13,12
transport_recovery__natural__001,canonicalized,actual_applied,13,13,12
transport_recovery__natural__002,canonicalized,actual_applied,13,13,12
transport_recovery__natural__003,canonicalized,actual_applied,14,14,13
transport_recovery__natural__004,canonicalized,actual_applied,15,15,14
transport_recovery__natural__005,canonicalized,actual_applied,14,14,13
transport_recovery__natural__006,canonicalized,actual_applied,14,14,13
