method,policy_seed,checkpoint_step,path,exists,bytes,sha256,is_final
COUNT_PBRS,239,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_239/policy_262144.zip,True,546212,daa356c4f921225cac15146c62283bf8d9720ea7d44bfa34ba7bd4ce115c21a6,False
COUNT_PBRS,239,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_239/policy_524288.zip,True,546212,ab6c40b18550e6ffda0058269b1657c54f41cf8746178958af2120b23dde7760,True
COUNT_PBRS,241,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_241/policy_0.zip,True,191552,5ee108426789bd7aa984bf6f77f2af1fbd6faf8ff2f1013638d7c31f4d05757b,False
COUNT_PBRS,241,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_241/policy_32768.zip,True,546204,2055e53dd115f5172e5c4d0bbbf61bebb9093602297176b622c5a3300a313626,False
COUNT_PBRS,241,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_241/policy_65536.zip,True,546208,098fd108a4145990f6d983b2c342348b456b055bb6eda7cb199cf2f304be51e6,False
COUNT_PBRS,241,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_241/policy_131072.zip,True,546210,d3e7c82d27ef8cbb5de6a59ef4abb9ea76ec47289dc8453f931075c7afefb269,False
COUNT_PBRS,241,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_241/policy_262144.zip,True,546212,9c71ca2a612191c7a8120e8a20b7c55624e2cf929ffe12adc96b3577688b5668,False
COUNT_PBRS,241,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_241/policy_524288.zip,True,546212,bc7505a4be6db694ab8bdc3126788e8747ce34fa236a2721a0ee2b5497b2d833,True
COUNT_PBRS,251,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_251/policy_0.zip,True,191552,b8d0973d08445422efa1bcf2e3177513283ea3b3e626832cd1f420da2b4d3899,False
COUNT_PBRS,251,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_251/policy_32768.zip,True,546204,3fb9684b6c809bb46b596318e3264d40b0546858e212cdaa201afa66c2fbfa92,False
COUNT_PBRS,251,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_251/policy_65536.zip,True,546208,1426e7410aa0f5de40238696f3ba99a4b173fc8d8c9d33426d585ca78d7a1f36,False
COUNT_PBRS,251,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_251/policy_131072.zip,True,546210,574ceeb4fdfd883542acfca6f8bba6f2fcaed5df6ac64c1fd9d1f7d220e0c185,False
COUNT_PBRS,251,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_251/policy_262144.zip,True,546212,460fe1002ca9a6db401a4f264d7792e322f6801f6abf53a6962ad1b1df38b650,False
COUNT_PBRS,251,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_251/policy_524288.zip,True,546212,ac907f35cf68e789b08aa292100526956345a85d7e375c5e690a04f29d54ac7c,True
COUNT_EVENTS_PBRS,211,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_211/policy_0.zip,True,191552,13fbae756f3c84aecc5a145b11b2441dd08629503a1e867d0a03d0ddff04f9b1,False
COUNT_EVENTS_PBRS,211,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_211/policy_32768.zip,True,546204,ef432dbf82b41f9199df9b068531ea5222fbe57a7d697fd6bda4caa94194023c,False
COUNT_EVENTS_PBRS,211,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_211/policy_65536.zip,True,546208,f269ef1d2bea206e2a86b990d138416cf793208d3ccda88bcdab503f54a7f4cd,False
COUNT_EVENTS_PBRS,211,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_211/policy_131072.zip,True,546210,a3b3dc2834a2e60238078313bfb0326ee5e98a8737cf9ecacbfe5d9cb25b3e07,False
COUNT_EVENTS_PBRS,211,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_211/policy_262144.zip,True,546212,3f57b0bfee88a9b1d6a17c65eeee95a4933e990e69e2741c36baee4c9e2db22e,False
COUNT_EVENTS_PBRS,211,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_211/policy_524288.zip,True,546212,821e316c2fdee02b9ecb3b90e49a5fc1475893524ef26e50bc90d0b6ed081fa9,True
COUNT_EVENTS_PBRS,223,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_223/policy_0.zip,True,191552,fd518151720a50c41677dec4d46d27d639792cfd40415f29d2c2e5761e064610,False
COUNT_EVENTS_PBRS,223,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_223/policy_32768.zip,True,546204,3fe8686566be8f4adfa7ede67f593da0d9a1c8824066b26e91bbaf15d9460d3c,False
COUNT_EVENTS_PBRS,223,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_223/policy_65536.zip,True,546208,c041d275f8b393bd966cd0f908dc453f29f5ce6e97984a8a55efcfb66c684c1e,False
COUNT_EVENTS_PBRS,223,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_223/policy_131072.zip,True,546210,fe6eec571c53745ce5f72a8d2f2e98d15e2dc516eba80fe3a70c8818943c1a3c,False
COUNT_EVENTS_PBRS,223,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_EVENTS_PBRS/seed_223/policy_262144.zip,True,546212,10bfc83a2c292b68815099e7b9a126fdb6190012a612acc3f0e7827c70184965,False
