method,policy_seed,condition,profile,successes,episodes,success_rate
GRAPH_COST_PBRS,233,B_VALID_A_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,233,FREE_ORDER,BASE64,88,128,0.6875
GRAPH_COST_PBRS,233,FREE_ORDER,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,233,INVALIDATE_FIRST,BASE64,88,128,0.6875
GRAPH_COST_PBRS,233,INVALIDATE_FIRST,LONG_CHAIN128,87,128,0.6796875
GRAPH_COST_PBRS,233,LATE_LOSS,BASE64,88,128,0.6875
GRAPH_COST_PBRS,233,LATE_LOSS,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,233,TWO_LOSSES,BASE64,88,128,0.6875
GRAPH_COST_PBRS,233,TWO_LOSSES,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,239,A_STARTED,BASE64,128,128,1.0
GRAPH_COST_PBRS,239,A_STARTED,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,239,A_VALID_B_LOSS,BASE64,128,128,1.0
GRAPH_COST_PBRS,239,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_COST_PBRS,239,B_STARTED,BASE64,108,128,0.84375
GRAPH_COST_PBRS,239,B_STARTED,LONG_CHAIN128,96,128,0.75
GRAPH_COST_PBRS,239,B_VALID_A_LOSS,BASE64,119,128,0.9296875
GRAPH_COST_PBRS,239,B_VALID_A_LOSS,LONG_CHAIN128,112,128,0.875
GRAPH_COST_PBRS,239,FREE_ORDER,BASE64,108,128,0.84375
GRAPH_COST_PBRS,239,FREE_ORDER,LONG_CHAIN128,92,128,0.71875
GRAPH_COST_PBRS,239,INVALIDATE_FIRST,BASE64,124,128,0.96875
GRAPH_COST_PBRS,239,INVALIDATE_FIRST,LONG_CHAIN128,124,128,0.96875
GRAPH_COST_PBRS,239,LATE_LOSS,BASE64,104,128,0.8125
GRAPH_COST_PBRS,239,LATE_LOSS,LONG_CHAIN128,84,128,0.65625
GRAPH_COST_PBRS,239,TWO_LOSSES,BASE64,101,128,0.7890625
GRAPH_COST_PBRS,239,TWO_LOSSES,LONG_CHAIN128,80,128,0.625
GRAPH_FULL_PBRS,211,A_STARTED,BASE64,123,128,0.9609375
GRAPH_FULL_PBRS,211,A_STARTED,LONG_CHAIN128,120,128,0.9375
GRAPH_FULL_PBRS,211,A_VALID_B_LOSS,BASE64,120,128,0.9375
