episode_id,task,SPARSE_TERMINAL_signed,SPARSE_TERMINAL_pos,LINEAR_A_FIRST_R1_signed,LINEAR_A_FIRST_R1_pos,LINEAR_B_FIRST_R1_signed,LINEAR_B_FIRST_R1_pos,UNORDERED_VALID_COUNT_signed,UNORDERED_VALID_COUNT_pos,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_signed,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_pos,GRAPH_COST_ONLY_signed,GRAPH_COST_ONLY_pos,FULL_FROZEN_signed,FULL_FROZEN_pos,V6_CAP_POTENTIAL_signed,V6_CAP_POTENTIAL_pos,A_minus_B,v6_minus_count,v6_minus_event
P1V5_F01_920001__D2_B_then_A_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483853261622837,0.0,-0.25,-0.25
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722639434263366,0.0,-0.25,-0.25
P1V5_F01_920001__D4_B_done_A_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722077219853474,0.0,-0.25,-0.25
P1V5_F01_920001__D5_completed_subgoal_invalidated_restored,dual_order,1.0,1.0,1.0,1.3333333333333335,1.0,1.0,1.0,1.5,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.9744923013147546,0.0,-0.25,-0.25
P1V5_F01_920001__D6_repeat_completed_subgoal_then_terminal_failure,dual_order,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,1.0,0.5,1.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0825258824531465,0.3333333333333333,-0.16666666666666669,-0.16666666666666669
P1V5_F01_920001__R1_clean_transport_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.1378426616666664,1.304509328333333,0.6666666666666666,0.9983851432336627,,-0.33333333333333337,-0.33333333333333337
P1V5_F01_920001__R2_loss_at_40pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,0.9392799402543608,1.6059466069210275,0.6666666666666666,1.5631876049083522,,-0.33333333333333337,-0.33333333333333337
P1V5_F01_920001__R3_loss_at_80pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,1.1043213955093683,1.770988062176035,0.6666666666666666,1.6285687455654845,,-0.33333333333333337,-0.33333333333333337
P1V5_F01_920001__R4_three_cycles_at_40pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.5555465087239921,3.9080046302869054,0.6666666666666665,3.493203539458856,,-0.3333333333333335,-0.3333333333333335
P1V5_F01_920001__R5_three_cycles_at_80pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.8792153496260788,4.251810724728396,0.6666666666666666,3.828391139890028,,-0.33333333333333337,-0.33333333333333337
P1V5_F01_920001__R6_three_closed_cycles_then_stop,recovery,0.0,0.0,,,,,0.0,0.0,0.0,3.0,0.3333333333333334,2.5,0.9148304716647842,3.100621926561031,0.3965362226802089,2.8907422124388136,,0.3965362226802089,0.3965362226802089
P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal,recovery,0.0,0.0,,,,,0.0,0.0,-1.0,0.0,-0.16666666666666669,0.3333333333333333,0.02768505739605992,0.5276850573960599,-0.16666666666666674,0.3981168179786396,,-0.16666666666666674,0.8333333333333333
P1V5_F01_920001__R8_commanded_release,recovery,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.16666666666666663,,0.0,0.0
P1V5_F02_920002__D1_A_then_B_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483853066983435,0.0,-0.25,-0.25
P1V5_F02_920002__D2_B_then_A_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483852955970458,0.0,-0.25,-0.25
P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5723860355602524,0.0,-0.25,-0.25
