budget,proportion,delete_k,matrix_column,original_demo_index,deletion_frequency
10,0.1,19,55,87,0.065
10,0.1,19,56,90,0.32
10,0.1,19,57,93,0.418
10,0.1,19,58,94,0.354
10,0.1,19,59,97,0.078
10,0.1,19,60,98,0.02
10,0.1,19,61,100,0.126
10,0.1,19,62,104,0.01
10,0.1,19,63,105,0.224
10,0.1,19,64,106,0.031
10,0.1,19,65,110,0.324
10,0.1,19,66,113,0.116
10,0.1,19,67,114,0.007
10,0.1,19,68,117,0.003
10,0.1,19,69,119,0.015
10,0.1,19,70,120,0.18
10,0.1,19,71,121,0.173
10,0.1,19,72,124,0.09
10,0.1,19,73,125,0.006
10,0.1,19,74,126,0.232
10,0.1,19,75,127,0.052
10,0.1,19,76,131,0.002
10,0.1,19,77,132,0.017
10,0.1,19,78,133,0.03
10,0.1,19,79,134,0.008
10,0.1,19,80,135,0.024
10,0.1,19,81,136,0.322
10,0.1,19,82,138,0.157
10,0.1,19,83,139,0.001
10,0.1,19,84,140,0.09
10,0.1,19,85,141,0.041
10,0.1,19,86,142,0.095
10,0.1,19,87,145,0.279
10,0.1,19,88,146,0.046
10,0.1,19,89,150,0.056
10,0.1,19,90,151,0.039
10,0.1,19,91,152,0.011
10,0.1,19,92,156,0.06
10,0.1,19,93,159,0.008
10,0.1,19,94,160,0.0
10,0.1,19,95,161,0.001
10,0.1,19,96,163,0.012
10,0.1,19,97,164,0.014
10,0.1,19,98,166,0.098
10,0.1,19,99,168,0.166
10,0.1,19,100,171,0.043
10,0.1,19,101,172,0.004
10,0.1,19,102,173,0.04
10,0.1,19,103,174,0.042
10,0.1,19,104,175,0.017
10,0.1,19,105,176,0.014
10,0.1,19,106,178,0.011
10,0.1,19,107,179,0.213
10,0.1,19,108,180,0.104
10,0.1,19,109,181,0.004
10,0.1,19,110,183,0.066
10,0.1,19,111,185,0.007
10,0.1,19,112,186,0.031
10,0.1,19,113,187,0.013
10,0.1,19,114,188,0.117
10,0.1,19,115,190,0.015
10,0.1,19,116,191,0.333
10,0.1,19,117,194,0.242
10,0.1,19,118,196,0.0
10,0.1,19,119,197,0.354
10,0.1,19,120,198,0.076
10,0.1,19,121,200,0.041
10,0.1,19,122,201,0.401
10,0.1,19,123,202,0.028
10,0.1,19,124,203,0.041
10,0.1,19,125,204,0.224
10,0.1,19,126,205,0.049
10,0.1,19,127,206,0.012
10,0.1,19,128,208,0.056
10,0.1,19,129,209,0.203
10,0.1,19,130,210,0.118
10,0.1,19,131,211,0.041
10,0.1,19,132,213,0.001
10,0.1,19,133,215,0.076
10,0.1,19,134,216,0.117
10,0.1,19,135,217,0.104
10,0.1,19,136,218,0.061
10,0.1,19,137,219,0.004
10,0.1,19,138,220,0.172
10,0.1,19,139,221,0.332
10,0.1,19,140,222,0.101
10,0.1,19,141,223,0.136
10,0.1,19,142,224,0.346
10,0.1,19,143,225,0.317
10,0.1,19,144,227,0.03
10,0.1,19,145,228,0.082
10,0.1,19,146,230,0.554
10,0.1,19,147,234,0.298
10,0.1,19,148,235,0.221
10,0.1,19,149,236,0.371
10,0.1,19,150,237,0.149
10,0.1,19,151,239,0.214
10,0.1,19,152,242,0.17
10,0.1,19,153,243,0.359
10,0.1,19,154,244,0.109
10,0.1,19,155,247,0.546
10,0.1,19,156,250,0.09
10,0.1,19,157,253,0.2
10,0.1,19,158,254,0.024
10,0.1,19,159,255,0.073
10,0.1,19,160,256,0.12
10,0.1,19,161,257,0.108
10,0.1,19,162,258,0.091
10,0.1,19,163,259,0.098
10,0.1,19,164,260,0.023
10,0.1,19,165,261,0.352
10,0.1,19,166,262,0.101
10,0.1,19,167,263,0.1
10,0.1,19,168,265,0.074
10,0.1,19,169,268,0.032
10,0.1,19,170,269,0.262
10,0.1,19,171,270,0.017
10,0.1,19,172,271,0.313
10,0.1,19,173,272,0.034
10,0.1,19,174,273,0.08
10,0.1,19,175,274,0.022
10,0.1,19,176,275,0.078
10,0.1,19,177,276,0.137
10,0.1,19,178,278,0.028
10,0.1,19,179,279,0.053
10,0.1,19,180,280,0.111
10,0.1,19,181,286,0.019
10,0.1,19,182,287,0.009
10,0.1,19,183,289,0.263
10,0.1,19,184,290,0.183
10,0.1,19,185,291,0.03
10,0.1,19,186,292,0.057
10,0.1,19,187,294,0.041
10,0.1,19,188,296,0.001
10,0.1,19,189,297,0.013
10,0.1,19,190,298,0.023
10,0.1,19,191,299,0.141
10,0.2,38,0,0,0.027
10,0.2,38,1,1,0.074
10,0.2,38,2,3,0.027
10,0.2,38,3,5,0.221
10,0.2,38,4,6,0.08
10,0.2,38,5,7,0.251
10,0.2,38,6,11,0.072
10,0.2,38,7,13,0.03
10,0.2,38,8,15,0.04
10,0.2,38,9,16,0.037
10,0.2,38,10,18,0.148
10,0.2,38,11,19,0.016
10,0.2,38,12,20,0.097
10,0.2,38,13,21,0.139
10,0.2,38,14,27,0.045
10,0.2,38,15,28,0.159
10,0.2,38,16,30,0.035
10,0.2,38,17,31,0.041
10,0.2,38,18,32,0.033
10,0.2,38,19,33,0.292
10,0.2,38,20,34,0.122
10,0.2,38,21,35,0.15
10,0.2,38,22,36,0.107
10,0.2,38,23,37,0.127
10,0.2,38,24,38,0.026
10,0.2,38,25,39,0.084
10,0.2,38,26,41,0.245
