boundary_source,closed_full_input_cycle_residual,episode_id,partition_residual,root_family_id,segment_return_sum,split,whole_return_phi_last_minus_phi_first
best_rule,not_measured,formal_u2_family_107_r01,0.0,u2_family_107,0.5781010985374451,test,0.5781010985374451
uniform,not_measured,formal_u2_family_107_r01,0.0,u2_family_107,0.5781010985374451,test,0.5781010985374451
best_budget,not_measured,formal_u2_family_107_r01,0.0,u2_family_107,0.5781010985374451,test,0.5781010985374451
gold,not_measured,formal_u2_family_107_r02,0.0,u2_family_107,0.5809463858604431,test,0.5809463858604431
best_causal,not_measured,formal_u2_family_107_r02,0.0,u2_family_107,0.5809463858604431,test,0.5809463858604431
best_rule,not_measured,formal_u2_family_107_r02,0.0,u2_family_107,0.5809463858604431,test,0.5809463858604431
uniform,not_measured,formal_u2_family_107_r02,0.0,u2_family_107,0.5809463858604431,test,0.5809463858604431
best_budget,not_measured,formal_u2_family_107_r02,0.0,u2_family_107,0.5809463858604431,test,0.5809463858604431
gold,not_measured,formal_u2_family_107_r03,0.0,u2_family_107,0.5793193578720093,test,0.5793193578720093
best_causal,not_measured,formal_u2_family_107_r03,0.0,u2_family_107,0.5793193578720093,test,0.5793193578720093
best_rule,not_measured,formal_u2_family_107_r03,0.0,u2_family_107,0.5793193578720093,test,0.5793193578720093
uniform,not_measured,formal_u2_family_107_r03,0.0,u2_family_107,0.5793193578720093,test,0.5793193578720093
best_budget,not_measured,formal_u2_family_107_r03,0.0,u2_family_107,0.5793193578720093,test,0.5793193578720093
gold,not_measured,formal_u2_family_107_r04,0.0,u2_family_107,0.5819613486528397,test,0.5819613486528397
best_causal,not_measured,formal_u2_family_107_r04,0.0,u2_family_107,0.5819613486528397,test,0.5819613486528397
best_rule,not_measured,formal_u2_family_107_r04,0.0,u2_family_107,0.5819613486528397,test,0.5819613486528397
uniform,not_measured,formal_u2_family_107_r04,0.0,u2_family_107,0.5819613486528397,test,0.5819613486528397
best_budget,not_measured,formal_u2_family_107_r04,0.0,u2_family_107,0.5819613486528397,test,0.5819613486528397
gold,not_measured,formal_u2_family_107_r05,0.0,u2_family_107,0.5821665227413177,test,0.5821665227413177
best_causal,not_measured,formal_u2_family_107_r05,0.0,u2_family_107,0.5821665227413177,test,0.5821665227413177
best_rule,not_measured,formal_u2_family_107_r05,0.0,u2_family_107,0.5821665227413177,test,0.5821665227413177
uniform,not_measured,formal_u2_family_107_r05,0.0,u2_family_107,0.5821665227413177,test,0.5821665227413177
best_budget,not_measured,formal_u2_family_107_r05,0.0,u2_family_107,0.5821665227413177,test,0.5821665227413177
gold,not_measured,formal_u2_family_108_r00,0.0,u2_family_108,0.6556247472763062,test,0.6556247472763062
best_causal,not_measured,formal_u2_family_108_r00,0.0,u2_family_108,0.6556247472763062,test,0.6556247472763062
best_rule,not_measured,formal_u2_family_108_r00,0.0,u2_family_108,0.6556247472763062,test,0.6556247472763062
uniform,not_measured,formal_u2_family_108_r00,0.0,u2_family_108,0.6556247472763062,test,0.6556247472763062
best_budget,not_measured,formal_u2_family_108_r00,0.0,u2_family_108,0.6556247472763062,test,0.6556247472763062
gold,not_measured,formal_u2_family_108_r01,0.0,u2_family_108,0.6561644524335861,test,0.6561644524335861
best_causal,not_measured,formal_u2_family_108_r01,0.0,u2_family_108,0.6561644524335861,test,0.6561644524335861
best_rule,not_measured,formal_u2_family_108_r01,0.0,u2_family_108,0.6561644524335861,test,0.6561644524335861
uniform,not_measured,formal_u2_family_108_r01,0.0,u2_family_108,0.6561644524335861,test,0.6561644524335861
best_budget,not_measured,formal_u2_family_108_r01,0.0,u2_family_108,0.6561644524335861,test,0.6561644524335861
gold,not_measured,formal_u2_family_108_r02,0.0,u2_family_108,0.6582468599081039,test,0.6582468599081039
best_causal,not_measured,formal_u2_family_108_r02,0.0,u2_family_108,0.6582468599081039,test,0.6582468599081039
best_rule,not_measured,formal_u2_family_108_r02,0.0,u2_family_108,0.6582468599081039,test,0.6582468599081039
uniform,not_measured,formal_u2_family_108_r02,0.0,u2_family_108,0.6582468599081039,test,0.6582468599081039
best_budget,not_measured,formal_u2_family_108_r02,0.0,u2_family_108,0.6582468599081039,test,0.6582468599081039
gold,not_measured,formal_u2_family_108_r03,0.0,u2_family_108,0.6533871591091156,test,0.6533871591091156
best_causal,not_measured,formal_u2_family_108_r03,0.0,u2_family_108,0.6533871591091156,test,0.6533871591091156
best_rule,not_measured,formal_u2_family_108_r03,0.0,u2_family_108,0.6533871591091156,test,0.6533871591091156
uniform,not_measured,formal_u2_family_108_r03,0.0,u2_family_108,0.6533871591091156,test,0.6533871591091156
best_budget,not_measured,formal_u2_family_108_r03,0.0,u2_family_108,0.6533871591091156,test,0.6533871591091156
gold,not_measured,formal_u2_family_108_r04,0.0,u2_family_108,0.6612646132707596,test,0.6612646132707596
best_causal,not_measured,formal_u2_family_108_r04,0.0,u2_family_108,0.6612646132707596,test,0.6612646132707596
best_rule,not_measured,formal_u2_family_108_r04,0.0,u2_family_108,0.6612646132707596,test,0.6612646132707596
uniform,not_measured,formal_u2_family_108_r04,0.0,u2_family_108,0.6612646132707596,test,0.6612646132707596
best_budget,not_measured,formal_u2_family_108_r04,0.0,u2_family_108,0.6612646132707596,test,0.6612646132707596
gold,not_measured,formal_u2_family_108_r05,0.0,u2_family_108,0.6598535925149918,test,0.6598535925149918
best_causal,not_measured,formal_u2_family_108_r05,0.0,u2_family_108,0.6598535925149918,test,0.6598535925149918
best_rule,not_measured,formal_u2_family_108_r05,0.0,u2_family_108,0.6598535925149918,test,0.6598535925149918
uniform,not_measured,formal_u2_family_108_r05,0.0,u2_family_108,0.6598535925149918,test,0.6598535925149918
best_budget,not_measured,formal_u2_family_108_r05,0.0,u2_family_108,0.6598535925149918,test,0.6598535925149918
gold,not_measured,formal_u2_family_109_r00,0.0,u2_family_109,0.651608943939209,test,0.651608943939209
best_causal,not_measured,formal_u2_family_109_r00,0.0,u2_family_109,0.651608943939209,test,0.651608943939209
best_rule,not_measured,formal_u2_family_109_r00,0.0,u2_family_109,0.651608943939209,test,0.651608943939209
uniform,not_measured,formal_u2_family_109_r00,0.0,u2_family_109,0.651608943939209,test,0.651608943939209
best_budget,not_measured,formal_u2_family_109_r00,0.0,u2_family_109,0.651608943939209,test,0.651608943939209
gold,not_measured,formal_u2_family_109_r01,0.0,u2_family_109,0.7772622406482697,test,0.7772622406482697
best_causal,not_measured,formal_u2_family_109_r01,0.0,u2_family_109,0.7772622406482697,test,0.7772622406482697
best_rule,not_measured,formal_u2_family_109_r01,0.0,u2_family_109,0.7772622406482697,test,0.7772622406482697
uniform,not_measured,formal_u2_family_109_r01,0.0,u2_family_109,0.7772622406482697,test,0.7772622406482697
best_budget,not_measured,formal_u2_family_109_r01,0.0,u2_family_109,0.7772622406482697,test,0.7772622406482697
gold,not_measured,formal_u2_family_109_r02,0.0,u2_family_109,0.19767910242080688,test,0.19767910242080688
best_causal,not_measured,formal_u2_family_109_r02,0.0,u2_family_109,0.19767910242080688,test,0.19767910242080688
best_rule,not_measured,formal_u2_family_109_r02,0.0,u2_family_109,0.19767910242080688,test,0.19767910242080688
uniform,not_measured,formal_u2_family_109_r02,0.0,u2_family_109,0.19767910242080688,test,0.19767910242080688
