case_id,split,seed,target_x,target_y,interferer_x,interferer_y,dx,dy,abs_dx,abs_dy,aabb_overlap_x,aabb_overlap_y,aabb_overlap,classification,source_sha256
T_C_train_38,train,3138,-0.13487694606148157,-0.11335155357800798,-0.10434684561475926,-0.09072605984388038,0.030530100446722302,0.022625493734127602,0.030530100446722302,0.022625493734127602,0.009469899553277698,0.0173745062658724,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_39,train,3139,-0.061245594538876014,-0.15570334803432384,-0.03622211600962319,-0.12710569913977268,0.025023478529252824,0.02859764889455116,0.025023478529252824,0.02859764889455116,0.014976521470747177,0.011402351105448842,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_40,train,3140,-0.14264455730495734,-0.041762937044136694,-0.10867490221255183,-0.024731714747924106,0.033969655092405515,0.017031222296212588,0.033969655092405515,0.017031222296212588,0.006030344907594486,0.022968777703787413,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_41,train,3141,-0.20194106310183915,-0.08023780483075404,-0.16828574861392795,-0.0625935477843439,0.0336553144879112,0.01764425704641015,0.0336553144879112,0.01764425704641015,0.006344685512088798,0.02235574295358985,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_42,train,3142,-0.08343764771542095,-0.09467302978861239,-0.053979820668100684,-0.07066810475956539,0.029457827047320265,0.024004925029046997,0.029457827047320265,0.024004925029046997,0.010542172952679736,0.015995074970953004,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_43,train,3143,-0.07430326831941209,-0.1633756669927175,-0.0489231529648029,-0.13509405203552788,0.025380115354609184,0.028281614957189616,0.025380115354609184,0.028281614957189616,0.014619884645390817,0.011718385042810385,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_44,train,3144,-0.17813283040226208,-0.17737405129532918,-0.14889751084014002,-0.15309862977271493,0.029235319562122053,0.02427542152261425,0.029235319562122053,0.02427542152261425,0.010764680437877948,0.015724578477385752,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_45,train,3145,-0.1250034613154907,-0.0377838500426316,-0.09125224935276793,-0.02032373288817473,0.033751211962722766,0.01746011715445687,0.033751211962722766,0.01746011715445687,0.006248788037277235,0.02253988284554313,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_46,train,3146,-0.1971349008280124,-0.04037131363181337,-0.1621652966980274,-0.025500981187912358,0.03496960412998501,0.014870332443901013,0.03496960412998501,0.014870332443901013,0.005030395870014991,0.025129667556098988,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_47,train,3147,-0.21606782112289144,-0.08280588150954922,-0.18224415944934536,-0.06548653074245958,0.033823661673546085,0.01731935076708964,0.033823661673546085,0.01731935076708964,0.006176338326453916,0.022680649232910362,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
