config_id,lambda,eta,beta,confidence,oracle_path_normalized_gap,oracle_positive_loop_rate,oracle_loop_return_mean,oracle_loop_return_p95,oracle_stagnation_positive_rate,oracle_terminal_hold_abs_mean,failure_negative_rate,recovery_positive_rate,recovery_cycle_nonpositive_rate,forward_positive_rate,recovery_positive_weight_coverage,success_return_auroc,success_return_spearman,success_minus_failure_return_margin,reward_nonzero_rate,reward_lcb_mean,uncertainty_penalty_mean,fixed_order_score_drop
cfg_048,0.25,0.1,0.0,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999760719387,8.988190956506884,1.0,-1.2792629445141623,0.0,0.0
cfg_049,0.25,0.1,0.0,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999660615356,8.856825872107066,0.992797118847539,-1.254633837364906,0.0,0.0
cfg_050,0.25,0.1,0.5,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999141843737,9.014912472321129,1.0,-1.2814437838719093,0.009057893785569078,0.0
cfg_051,0.25,0.1,0.5,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999252537864,8.858255324219499,0.992797118847539,-1.2571819477171284,0.00875805146553734,0.0
cfg_052,0.25,0.1,1.0,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998118137396,9.041633988135374,1.0,-1.2836246232296562,0.018115787571138155,0.0
cfg_053,0.25,0.1,1.0,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.999999845859172,8.859684776331903,0.992797118847539,-1.2597300580693498,0.01751610293107468,0.0
cfg_054,0.25,0.1,1.5,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999996696779867,9.06835550394959,1.0,-1.2858054625874025,0.02717368135670726,0.0
cfg_055,0.25,0.1,1.5,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999997279150714,8.861114228444336,0.992797118847539,-1.2622781684215716,0.02627415439661204,0.0
cfg_056,0.25,0.2,0.0,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999769268062,8.388113661286297,1.0,-1.3311332064989714,0.0,0.0
cfg_057,0.25,0.2,0.0,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999676531609,8.256748576886508,0.992797118847539,-1.3056637632152608,0.0,0.0
cfg_058,0.25,0.2,0.5,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999138696357,8.414905760489688,1.0,-1.3330777416149577,0.009057893785569078,0.0
cfg_059,0.25,0.2,0.5,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.999999926432865,8.258248612388087,0.992797118847539,-1.3079755693257233,0.008758051465537342,0.0
cfg_060,0.25,0.2,1.0,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998091677874,8.44169785969305,1.0,-1.335022276730944,0.018115787571138155,0.0
cfg_061,0.25,0.2,1.0,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.999999845626804,8.259748647889637,0.992797118847539,-1.3102873754361837,0.017516102931074685,0.0
cfg_062,0.25,0.2,1.5,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999996636143544,8.46848995889647,1.0,-1.3369668118469304,0.02717368135670726,0.0
cfg_063,0.25,0.2,1.5,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999997252781367,8.261248683391216,0.992797118847539,-1.312599181546645,0.026274154396612057,0.0
cfg_064,0.5,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.6346153846153846,0.5,not_estimable,0.99983315903996,0.21661310332516814,0.9795918367346939,0.02201641511608836,0.0,0.0
cfg_065,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.7115384615384616,0.75,not_estimable,0.9999746765106251,0.49406094083355523,0.8775510204081632,0.019234251658044228,0.0,0.0
cfg_066,0.5,0.0,0.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.6346153846153846,0.25,not_estimable,-0.9996430282689795,-0.1433444173850067,0.9795918367346939,0.010334320082566678,0.011682095033521666,0.0
cfg_067,0.5,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.6346153846153846,0.25,not_estimable,0.9982611550501607,0.0571783342987634,0.8775510204081632,0.008315222614423717,0.010919029043620503,0.0
cfg_068,0.5,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9999295271978127,-0.5033019380951815,0.9795918367346939,-0.0013477749509550009,0.023364190067043333,0.0
cfg_069,0.5,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9998657822579736,-0.37970427223602815,0.8775510204081632,-0.0026038064291967955,0.021838058087241007,0.0
cfg_070,0.5,0.0,1.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.999947167953475,-0.8632594588053566,0.9795918367346939,-0.013029869984476656,0.035046285100565,0.0
cfg_071,0.5,0.0,1.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9999293031941073,-0.8165868787708195,0.8775510204081632,-0.013522835472817293,0.03275708713086149,0.0
cfg_072,0.5,0.05,0.0,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999925066133,9.478502363194224,1.0,-1.175584149013469,0.0,0.0
cfg_073,0.5,0.05,0.0,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999873151882,9.185541047217953,0.992797118847539,-1.151813543672743,0.0,0.0
cfg_074,0.5,0.05,0.5,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999334284736,9.485895840569668,1.0,-1.1792995923753242,0.011682095033521666,0.0
cfg_075,0.5,0.05,0.5,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.999999932567411,9.166494667683793,0.992797118847539,-1.1557202388933956,0.010919029043620503,0.0
cfg_076,0.5,0.05,1.0,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999997988606134,9.493289317945056,1.0,-1.1830150357371787,0.023364190067043333,0.0
cfg_077,0.5,0.05,1.0,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.999999823213158,9.147448288149633,0.992797118847539,-1.1596269341140466,0.021838058087241007,0.0
