episodes,error_sum,estimability,event,event_id,f1,fn,fp,mae,matched_count,model,precision,recall,split,tolerance,tp
108,0.0,estimable,terminal_failure,9,0.375,2,58,0.0,18,boundary_model:causal_weak_only_s621,0.23684210526315788,0.9,val,2,18
108,0.0,estimable,stagnation_onset,10,,15,0,,0,boundary_model:causal_weak_only_s621,,0.0,val,2,0
108,0.0,estimable,contact_on,1,0.9432314410480349,0,13,0.0,108,boundary_model:causal_weak_only_s621,0.8925619834710744,1.0,test,1,108
108,0.0,estimable,transport_on,2,,108,0,,0,boundary_model:causal_weak_only_s621,,0.0,test,1,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,27,boundary_model:causal_weak_only_s621,1.0,1.0,test,1,27
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,27,boundary_model:causal_weak_only_s621,1.0,1.0,test,1,27
108,0.0,estimable,contact_reestablished,5,0.5789473684210527,13,3,0.0,11,boundary_model:causal_weak_only_s621,0.7857142857142857,0.4583333333333333,test,1,11
108,0.0,estimable,detour_start,6,0.010362694300518133,23,168,0.0,1,boundary_model:causal_weak_only_s621,0.005917159763313609,0.041666666666666664,test,1,1
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,87,boundary_model:causal_weak_only_s621,1.0,1.0,test,1,87
108,0.0,estimable,stable_success,8,,87,0,,0,boundary_model:causal_weak_only_s621,,0.0,test,1,0
108,0.0,estimable,terminal_failure,9,0.5294117647058824,3,29,0.0,18,boundary_model:causal_weak_only_s621,0.3829787234042553,0.8571428571428571,test,1,18
108,0.0,estimable,stagnation_onset,10,,18,0,,0,boundary_model:causal_weak_only_s621,,0.0,test,1,0
108,0.0,estimable,contact_on,1,0.9432314410480349,0,13,0.0,108,boundary_model:causal_weak_only_s621,0.8925619834710744,1.0,test,2,108
108,0.0,estimable,transport_on,2,,108,0,,0,boundary_model:causal_weak_only_s621,,0.0,test,2,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,27,boundary_model:causal_weak_only_s621,1.0,1.0,test,2,27
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,27,boundary_model:causal_weak_only_s621,1.0,1.0,test,2,27
108,0.0,estimable,contact_reestablished,5,0.5789473684210527,13,3,0.0,11,boundary_model:causal_weak_only_s621,0.7857142857142857,0.4583333333333333,test,2,11
108,2.0,estimable,detour_start,6,0.020725388601036267,22,167,1.0,2,boundary_model:causal_weak_only_s621,0.011834319526627219,0.08333333333333333,test,2,2
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,87,boundary_model:causal_weak_only_s621,1.0,1.0,test,2,87
108,0.0,estimable,stable_success,8,,87,0,,0,boundary_model:causal_weak_only_s621,,0.0,test,2,0
108,0.0,estimable,terminal_failure,9,0.5294117647058824,3,29,0.0,18,boundary_model:causal_weak_only_s621,0.3829787234042553,0.8571428571428571,test,2,18
108,0.0,estimable,stagnation_onset,10,,18,0,,0,boundary_model:causal_weak_only_s621,,0.0,test,2,0
